編號,交易日期,契約,到期月份(週別),收盤價,交易時段,類型,剩餘天數,價平
1,2015/1/5,MTX,201501W1,9251,一般,近週,2,9250
1,2015/1/5,MTX,201501,9251,一般,近月,12,9300
1,2015/1/5,MTX,201502,9247,一般,遠月,30,9200
2,2015/1/6,MTX,201501W1,9066,一般,近週,1,9050
2,2015/1/6,MTX,201501,9056,一般,近月,11,9100
2,2015/1/6,MTX,201502,9054,一般,遠月,29,9100
3,2015/1/7,MTX,201501W1,9095,一般,近週,0,9100
3,2015/1/7,MTX,201501,9046,一般,近月,10,9000
3,2015/1/7,MTX,201501W2,9070,一般,遠週,5,9050
3,2015/1/7,MTX,201502,9042,一般,遠月,28,9000
4,2015/1/8,MTX,201501W2,9255,一般,近週,4,9250
4,2015/1/8,MTX,201501,9258,一般,近月,9,9300
4,2015/1/8,MTX,201502,9253,一般,遠月,27,9300
5,2015/1/9,MTX,201501W2,9225,一般,近週,3,9250
5,2015/1/9,MTX,201501,9231,一般,近月,8,9200
5,2015/1/9,MTX,201502,9228,一般,遠月,26,9200
6,2015/1/12,MTX,201501W2,9184,一般,近週,2,9200
6,2015/1/12,MTX,201501,9186,一般,近月,7,9200
6,2015/1/12,MTX,201502,9183,一般,遠月,25,9200
7,2015/1/13,MTX,201501W2,9249,一般,近週,1,9250
7,2015/1/13,MTX,201501,9252,一般,近月,6,9300
7,2015/1/13,MTX,201502,9253,一般,遠月,24,9300
8,2015/1/14,MTX,201501W2,9190,一般,近週,0,9200
8,2015/1/14,MTX,201501,9171,一般,近月,5,9150
8,2015/1/14,MTX,201502,9172,一般,遠月,23,9200
9,2015/1/15,MTX,201501,9198,一般,近月,4,9200
9,2015/1/15,MTX,201502,9199,一般,遠月,22,9200
10,2015/1/16,MTX,201501,9118,一般,近月,3,9100
10,2015/1/16,MTX,201502,9122,一般,遠月,21,9100
11,2015/1/19,MTX,201501,9183,一般,近月,2,9200
11,2015/1/19,MTX,201502,9187,一般,遠月,20,9200
12,2015/1/20,MTX,201501,9269,一般,近月,1,9250
12,2015/1/20,MTX,201502,9275,一般,遠月,19,9300
13,2015/1/21,MTX,201501,9308,一般,近月,0,9300
13,2015/1/21,MTX,201501W4,9306,一般,遠週,5,9300
13,2015/1/21,MTX,201502,9311,一般,遠月,18,9300
14,2015/1/22,MTX,201501W4,9380,一般,近週,4,9400
14,2015/1/22,MTX,201502,9388,一般,近月,17,9400
14,2015/1/22,MTX,201503,9388,一般,遠月,32,9400
15,2015/1/23,MTX,201501W4,9458,一般,近週,3,9450
15,2015/1/23,MTX,201502,9464,一般,近月,16,9500
15,2015/1/23,MTX,201503,9463,一般,遠月,31,9500
16,2015/1/26,MTX,201501W4,9467,一般,近週,2,9450
16,2015/1/26,MTX,201502,9465,一般,近月,15,9500
16,2015/1/26,MTX,201503,9464,一般,遠月,30,9500
17,2015/1/27,MTX,201501W4,9520,一般,近週,1,9500
17,2015/1/27,MTX,201502,9524,一般,近月,14,9500
17,2015/1/27,MTX,201503,9526,一般,遠月,29,9500
18,2015/1/28,MTX,201501W4,9499,一般,近週,0,9500
18,2015/1/28,MTX,201502,9529,一般,近月,13,9500
18,2015/1/28,MTX,201502W1,9526,一般,遠週,5,9550
18,2015/1/28,MTX,201503,9531,一般,遠月,28,9500
19,2015/1/29,MTX,201502W1,9419,一般,近週,4,9400
19,2015/1/29,MTX,201502,9428,一般,近月,12,9400
19,2015/1/29,MTX,201503,9431,一般,遠月,27,9400
20,2015/1/30,MTX,201502W1,9385,一般,近週,3,9400
20,2015/1/30,MTX,201502,9398,一般,近月,11,9400
20,2015/1/30,MTX,201503,9400,一般,遠月,26,9400
21,2015/2/2,MTX,201502W1,9408,一般,近週,2,9400
21,2015/2/2,MTX,201502,9422,一般,近月,10,9400
21,2015/2/2,MTX,201503,9426,一般,遠月,25,9400
22,2015/2/3,MTX,201502W1,9450,一般,近週,1,9450
22,2015/2/3,MTX,201502,9464,一般,近月,9,9500
22,2015/2/3,MTX,201503,9469,一般,遠月,24,9500
23,2015/2/4,MTX,201502W1,9517,一般,近週,0,9500
23,2015/2/4,MTX,201502,9523,一般,近月,8,9500
23,2015/2/4,MTX,201502W2,9514,一般,遠週,5,9500
23,2015/2/4,MTX,201503,9529,一般,遠月,23,9500
24,2015/2/5,MTX,201502W2,9509,一般,近週,4,9500
24,2015/2/5,MTX,201502,9514,一般,近月,7,9500
24,2015/2/5,MTX,201503,9517,一般,遠月,22,9500
25,2015/2/6,MTX,201502W2,9463,一般,近週,3,9450
25,2015/2/6,MTX,201502,9467,一般,近月,6,9500
25,2015/2/6,MTX,201503,9476,一般,遠月,21,9500
26,2015/2/9,MTX,201502W2,9442,一般,近週,2,9450
26,2015/2/9,MTX,201502,9450,一般,近月,5,9450
26,2015/2/9,MTX,201503,9459,一般,遠月,20,9500
27,2015/2/10,MTX,201502W2,9415,一般,近週,1,9400
27,2015/2/10,MTX,201502,9435,一般,近月,4,9450
27,2015/2/10,MTX,201503,9442,一般,遠月,19,9400
28,2015/2/11,MTX,201502W2,9462,一般,近週,0,9450
28,2015/2/11,MTX,201502,9480,一般,近月,3,9500
28,2015/2/11,MTX,201503,9487,一般,遠月,18,9500
29,2015/2/12,MTX,201502,9484,一般,近月,2,9500
29,2015/2/12,MTX,201503,9502,一般,遠月,17,9500
30,2015/2/13,MTX,201502,9516,一般,近月,1,9500
30,2015/2/13,MTX,201503,9537,一般,遠月,16,9500
31,2015/2/24,MTX,201502,9623,一般,近月,0,9600
31,2015/2/24,MTX,201502W4,9642,一般,遠週,1,9650
31,2015/2/24,MTX,201503,9650,一般,遠月,15,9700
32,2015/2/25,MTX,201502W4,9687,一般,近週,0,9700
32,2015/2/25,MTX,201503,9683,一般,近月,14,9700
32,2015/2/25,MTX,201503W1,9680,一般,遠週,4,9700
32,2015/2/25,MTX,201504,9684,一般,遠月,32,9700
33,2015/2/26,MTX,201503W1,9640,一般,近週,3,9650
33,2015/2/26,MTX,201503,9649,一般,近月,13,9600
33,2015/2/26,MTX,201504,9652,一般,遠月,31,9700
34,2015/3/2,MTX,201503W1,9618,一般,近週,2,9600
34,2015/3/2,MTX,201503,9631,一般,近月,12,9600
34,2015/3/2,MTX,201504,9636,一般,遠月,30,9600
35,2015/3/3,MTX,201503W1,9611,一般,近週,1,9600
35,2015/3/3,MTX,201503,9615,一般,近月,11,9600
35,2015/3/3,MTX,201504,9624,一般,遠月,29,9600
36,2015/3/4,MTX,201503W1,9619,一般,近週,0,9600
36,2015/3/4,MTX,201503,9622,一般,近月,10,9600
36,2015/3/4,MTX,201503W2,9619,一般,遠週,5,9600
36,2015/3/4,MTX,201504,9631,一般,遠月,28,9600
37,2015/3/5,MTX,201503W2,9588,一般,近週,4,9600
37,2015/3/5,MTX,201503,9589,一般,近月,9,9600
37,2015/3/5,MTX,201504,9595,一般,遠月,27,9600
38,2015/3/6,MTX,201503W2,9646,一般,近週,3,9650
38,2015/3/6,MTX,201503,9638,一般,近月,8,9600
38,2015/3/6,MTX,201504,9646,一般,遠月,26,9600
39,2015/3/9,MTX,201503W2,9578,一般,近週,2,9600
39,2015/3/9,MTX,201503,9575,一般,近月,7,9600
39,2015/3/9,MTX,201504,9580,一般,遠月,25,9600
40,2015/3/10,MTX,201503W2,9546,一般,近週,1,9550
40,2015/3/10,MTX,201503,9529,一般,近月,6,9500
40,2015/3/10,MTX,201504,9538,一般,遠月,24,9500
41,2015/3/11,MTX,201503W2,9552,一般,近週,0,9550
41,2015/3/11,MTX,201503,9521,一般,近月,5,9500
41,2015/3/11,MTX,201504,9528,一般,遠月,23,9500
42,2015/3/12,MTX,201503,9610,一般,近月,4,9600
42,2015/3/12,MTX,201504,9618,一般,遠月,22,9600
43,2015/3/13,MTX,201503,9597,一般,近月,3,9600
43,2015/3/13,MTX,201504,9614,一般,遠月,21,9600
44,2015/3/16,MTX,201503,9544,一般,近月,2,9550
44,2015/3/16,MTX,201504,9565,一般,遠月,20,9600
45,2015/3/17,MTX,201503,9555,一般,近月,1,9550
45,2015/3/17,MTX,201504,9568,一般,遠月,19,9600
46,2015/3/18,MTX,201503,9633,一般,近月,0,9650
46,2015/3/18,MTX,201503W4,9673,一般,遠週,5,9650
46,2015/3/18,MTX,201504,9674,一般,遠月,18,9700
47,2015/3/19,MTX,201503W4,9758,一般,近週,4,9750
47,2015/3/19,MTX,201504,9767,一般,近月,17,9800
47,2015/3/19,MTX,201505,9775,一般,遠月,41,9800
48,2015/3/20,MTX,201503W4,9750,一般,近週,3,9750
48,2015/3/20,MTX,201504,9758,一般,近月,16,9800
48,2015/3/20,MTX,201505,9766,一般,遠月,40,9800
49,2015/3/23,MTX,201503W4,9752,一般,近週,2,9750
49,2015/3/23,MTX,201504,9750,一般,近月,15,9800
49,2015/3/23,MTX,201505,9759,一般,遠月,39,9800
50,2015/3/24,MTX,201503W4,9737,一般,近週,1,9750
50,2015/3/24,MTX,201504,9719,一般,近月,14,9700
50,2015/3/24,MTX,201505,9729,一般,遠月,38,9700
51,2015/3/25,MTX,201503W4,9669,一般,近週,0,9650
51,2015/3/25,MTX,201504,9688,一般,近月,13,9700
51,2015/3/25,MTX,201504W1,9677,一般,遠週,5,9700
51,2015/3/25,MTX,201505,9699,一般,遠月,37,9700
52,2015/3/26,MTX,201504W1,9607,一般,近週,4,9600
52,2015/3/26,MTX,201504,9611,一般,近月,12,9600
52,2015/3/26,MTX,201505,9617,一般,遠月,36,9600
53,2015/3/27,MTX,201504W1,9532,一般,近週,3,9550
53,2015/3/27,MTX,201504,9542,一般,近月,11,9500
53,2015/3/27,MTX,201505,9551,一般,遠月,35,9600
54,2015/3/30,MTX,201504W1,9550,一般,近週,2,9550
54,2015/3/30,MTX,201504,9556,一般,近月,10,9600
54,2015/3/30,MTX,201505,9562,一般,遠月,34,9600
55,2015/3/31,MTX,201504W1,9568,一般,近週,1,9550
55,2015/3/31,MTX,201504,9583,一般,近月,9,9600
55,2015/3/31,MTX,201505,9590,一般,遠月,33,9600
56,2015/4/1,MTX,201504W1,9526,一般,近週,0,9550
56,2015/4/1,MTX,201504,9507,一般,近月,8,9500
56,2015/4/1,MTX,201504W2,9511,一般,遠週,3,9500
56,2015/4/1,MTX,201505,9514,一般,遠月,32,9500
57,2015/4/2,MTX,201504W2,9618,一般,近週,2,9600
57,2015/4/2,MTX,201504,9616,一般,近月,7,9600
57,2015/4/2,MTX,201505,9624,一般,遠月,31,9600
58,2015/4/7,MTX,201504W2,9647,一般,近週,1,9650
58,2015/4/7,MTX,201504,9629,一般,近月,6,9600
58,2015/4/7,MTX,201505,9638,一般,遠月,30,9600
59,2015/4/8,MTX,201504W2,9585,一般,近週,0,9600
59,2015/4/8,MTX,201504,9570,一般,近月,5,9550
59,2015/4/8,MTX,201505,9579,一般,遠月,29,9600
60,2015/4/9,MTX,201504,9572,一般,近月,4,9550
60,2015/4/9,MTX,201505,9581,一般,遠月,28,9600
61,2015/4/10,MTX,201504,9633,一般,近月,3,9650
61,2015/4/10,MTX,201505,9646,一般,遠月,27,9600
62,2015/4/13,MTX,201504,9657,一般,近月,2,9650
62,2015/4/13,MTX,201505,9675,一般,遠月,26,9700
63,2015/4/14,MTX,201504,9645,一般,近月,1,9650
63,2015/4/14,MTX,201505,9652,一般,遠月,25,9700
64,2015/4/15,MTX,201504,9520,一般,近月,0,9500
64,2015/4/15,MTX,201504W4,9541,一般,遠週,5,9550
64,2015/4/15,MTX,201505,9539,一般,遠月,24,9500
65,2015/4/16,MTX,201504W4,9659,一般,近週,4,9650
65,2015/4/16,MTX,201505,9646,一般,近月,23,9600
65,2015/4/16,MTX,201506,9644,一般,遠月,43,9600
66,2015/4/17,MTX,201504W4,9590,一般,近週,3,9600
66,2015/4/17,MTX,201505,9582,一般,近月,22,9600
66,2015/4/17,MTX,201506,9585,一般,遠月,42,9600
67,2015/4/20,MTX,201504W4,9561,一般,近週,2,9550
67,2015/4/20,MTX,201505,9565,一般,近月,21,9600
67,2015/4/20,MTX,201506,9568,一般,遠月,41,9600
68,2015/4/21,MTX,201504W4,9545,一般,近週,1,9550
68,2015/4/21,MTX,201505,9556,一般,近月,20,9600
68,2015/4/21,MTX,201506,9561,一般,遠月,40,9600
69,2015/4/22,MTX,201504W4,9620,一般,近週,0,9600
69,2015/4/22,MTX,201505,9614,一般,近月,19,9600
69,2015/4/22,MTX,201504W5,9613,一般,遠週,5,9600
69,2015/4/22,MTX,201506,9621,一般,遠月,39,9600
70,2015/4/23,MTX,201504W5,9834,一般,近週,4,9850
70,2015/4/23,MTX,201505,9838,一般,近月,18,9800
70,2015/4/23,MTX,201506,9847,一般,遠月,38,9800
71,2015/4/24,MTX,201504W5,9914,一般,近週,3,9900
71,2015/4/24,MTX,201505,9920,一般,近月,17,9900
71,2015/4/24,MTX,201506,9931,一般,遠月,37,9900
72,2015/4/27,MTX,201504W5,10000,一般,近週,2,10000
72,2015/4/27,MTX,201505,10020,一般,近月,16,10000
72,2015/4/27,MTX,201506,10029,一般,遠月,36,10000
73,2015/4/28,MTX,201504W5,9976,一般,近週,1,10000
73,2015/4/28,MTX,201505,9989,一般,近月,15,10000
73,2015/4/28,MTX,201506,10000,一般,遠月,35,10000
74,2015/4/29,MTX,201504W5,9866,一般,近週,0,9850
74,2015/4/29,MTX,201505,9906,一般,近月,14,9900
74,2015/4/29,MTX,201505W1,9891,一般,遠週,4,9900
74,2015/4/29,MTX,201506,9918,一般,遠月,34,9900
