編號,交易日期,交易時段
1,2015/1/5,一般
2,2015/1/6,一般
3,2015/1/7,一般
4,2015/1/8,一般
5,2015/1/9,一般
6,2015/1/12,一般
7,2015/1/13,一般
8,2015/1/14,一般
9,2015/1/15,一般
10,2015/1/16,一般
11,2015/1/19,一般
12,2015/1/20,一般
13,2015/1/21,一般
14,2015/1/22,一般
15,2015/1/23,一般
16,2015/1/26,一般
17,2015/1/27,一般
18,2015/1/28,一般
19,2015/1/29,一般
20,2015/1/30,一般
21,2015/2/2,一般
22,2015/2/3,一般
23,2015/2/4,一般
24,2015/2/5,一般
25,2015/2/6,一般
26,2015/2/9,一般
27,2015/2/10,一般
28,2015/2/11,一般
29,2015/2/12,一般
30,2015/2/13,一般
31,2015/2/24,一般
32,2015/2/25,一般
33,2015/2/26,一般
34,2015/3/2,一般
35,2015/3/3,一般
36,2015/3/4,一般
37,2015/3/5,一般
38,2015/3/6,一般
39,2015/3/9,一般
40,2015/3/10,一般
41,2015/3/11,一般
42,2015/3/12,一般
43,2015/3/13,一般
44,2015/3/16,一般
45,2015/3/17,一般
46,2015/3/18,一般
47,2015/3/19,一般
48,2015/3/20,一般
49,2015/3/23,一般
50,2015/3/24,一般
51,2015/3/25,一般
52,2015/3/26,一般
53,2015/3/27,一般
54,2015/3/30,一般
55,2015/3/31,一般
56,2015/4/1,一般
57,2015/4/2,一般
58,2015/4/7,一般
59,2015/4/8,一般
60,2015/4/9,一般
61,2015/4/10,一般
62,2015/4/13,一般
63,2015/4/14,一般
64,2015/4/15,一般
65,2015/4/16,一般
66,2015/4/17,一般
67,2015/4/20,一般
68,2015/4/21,一般
69,2015/4/22,一般
70,2015/4/23,一般
71,2015/4/24,一般
72,2015/4/27,一般
73,2015/4/28,一般
74,2015/4/29,一般
75,2015/4/30,一般
76,2015/5/4,一般
77,2015/5/5,一般
78,2015/5/6,一般
79,2015/5/7,一般
80,2015/5/8,一般
81,2015/5/11,一般
82,2015/5/12,一般
83,2015/5/13,一般
84,2015/5/14,一般
85,2015/5/15,一般
86,2015/5/18,一般
87,2015/5/19,一般
88,2015/5/20,一般
89,2015/5/21,一般
90,2015/5/22,一般
91,2015/5/25,一般
92,2015/5/26,一般
93,2015/5/27,一般
94,2015/5/28,一般
95,2015/5/29,一般
96,2015/6/1,一般
97,2015/6/2,一般
98,2015/6/3,一般
99,2015/6/4,一般
100,2015/6/5,一般
101,2015/6/8,一般
102,2015/6/9,一般
103,2015/6/10,一般
104,2015/6/11,一般
105,2015/6/12,一般
106,2015/6/15,一般
107,2015/6/16,一般
108,2015/6/17,一般
109,2015/6/18,一般
110,2015/6/22,一般
111,2015/6/23,一般
112,2015/6/24,一般
113,2015/6/25,一般
114,2015/6/26,一般
115,2015/6/29,一般
116,2015/6/30,一般
117,2015/7/1,一般
118,2015/7/2,一般
119,2015/7/3,一般
120,2015/7/6,一般
121,2015/7/7,一般
122,2015/7/8,一般
123,2015/7/9,一般
124,2015/7/13,一般
125,2015/7/14,一般
126,2015/7/15,一般
127,2015/7/16,一般
128,2015/7/17,一般
129,2015/7/20,一般
130,2015/7/21,一般
131,2015/7/22,一般
132,2015/7/23,一般
133,2015/7/24,一般
134,2015/7/27,一般
135,2015/7/28,一般
136,2015/7/29,一般
137,2015/7/30,一般
138,2015/7/31,一般
139,2015/8/3,一般
140,2015/8/4,一般
141,2015/8/5,一般
142,2015/8/6,一般
